Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,..,307.9888889,312.3611111,314.9722222,316.8444444,318.6666667,320.6388889,322.5277778,324.3666667,326.2555556,328.1277778,330.2222222,332.4444444,334.6833333,336.2666667,336.9833333,336.5888889,335.3666667,333.9055556,333.2222222,333.8666667,336.4833333,340.8055556,345.5611111,349.0888889,350.1444444,348.0222222,343.5166667,339.3277778,339.0666667,345.2722222,359.0111111,379.0833333,402.8,426.1111111,446.2444444,462.2222222,474.7277778,484.8722222,494.4722222,504.7388889,516.1,527.7333333,538.9833333,548.5388889,555.7277778,560.1888889,562.3444444,563.1,563.6388889,564.8277778,566.9222222,569.7777778,573.1055556,576.5222222,579.6722222,582.6222222,585.3666667,588.0277778
Aruba,ABW,"Population, total",SP.POP.TOTL,54211,55438,56225,56695,57032,57360,57715,58055,58386,58726,59063,59440,59840,60243,60528,60657,60586,60366,60103,59980,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100834,101222,101358,101455,101669,102046,102560,103159,103774,104341,104872,105366,105845
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,..,1.364565299,1.398279161,1.425354386,1.453601135,1.482368561,1.516603101,1.535868164,1.563203728,1.596266743,1.628028065,1.684000885,1.715241529,1.741665907,1.786313995,1.808442784,1.826666493,1.84736342,1.868971532,1.889277951,1.912448095,1.943037892,1.975710399,2.000572745,2.023352381,2.051208622,2.085104721,2.117061297,2.151985733,2.188719524,2.22135298,2.249847051,2.277312784,2.299701912,2.32417375,2.352420499,2.383530974,2.41034586,2.435598714,2.463585124,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.198361419,3.249129487
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,..,85.81132235,86.3388714,86.8952652,87.47639864,88.04660935,88.66633567,89.33153306,89.79659724,90.10722935,90.42245096,90.8268588,91.35627271,91.86382901,92.02031969,91.77649552,91.61449504,91.64967304,91.57550254,91.41953257,91.41962945,91.6530637,91.71881812,91.5707193,91.56495519,91.60795592,91.66619036,91.72421894,91.85416566,92.26891499,92.97469121,93.90761686,94.94682732,95.73302252,96.1021797,96.24943085,96.37947445,96.4887503,96.59468394,96.78280455,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.456383,100.7713458,101.0356656,101.2874302,101.6417364,102.1148654,102.7471302,103.5633242,104.7307927,105.8694934,106.6074453,107.2069267
Austria,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8847037
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,..,48.43147434,50.12708942,51.85391206,53.55500679,55.18835094,56.73748152,58.20767391,59.60599397,60.9482077,62.24717305,63.50302222,64.71349604,65.888965,67.04245527,68.18478196,69.32142471,70.45594049,71.59504669,72.74523234,73.91197712,75.09660286,76.30115241,77.53306416,78.80097817,80.10919644,81.45720225,82.83750916,84.23792014,85.64212841,86.02809522,87.37397407,88.70783406,90.06572965,91.29144071,92.34891692,93.28622538,94.19048771,95.23178903,96.52076658,97.43477998,98.19378742,98.91246693,99.62372121,100.4753702,101.5225018,102.6725292,103.8533638,106.05976,108.2912879,109.5423494,110.9763389,112.4607929,113.9234754,115.3488166,116.7310795,118.033289,119.1972058,120.2653199
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,3895397,4030322,4171426,4315127,4456687,4592609,4721523,4843868,4960232,5071927,5180023,5284531,5385263,5483082,5579072,5674133,5768721,5863132,5957925,6053640,6150733,6249314,6349553,6452069,6557581,6666447,6778624,6893489,7010027,7126881,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9942334
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,..,11.5005994,12.097003,12.72117882,13.35754246,13.99190809,14.62357642,15.24675325,15.84895105,16.41038961,16.92077922,17.37152847,17.76883117,18.13356643,18.49350649,18.87072927,19.27162837,19.69040959,20.12767233,20.57782218,21.03806194,21.51108891,21.9964036,22.48591409,22.96933067,23.43436563,23.87782218,24.3027972,24.72037962,25.14815185,25.5967033,26.07472527,26.57632368,27.07982018,27.55704296,27.99040959,28.36943057,28.70709291,29.03066933,29.37682318,29.77532468,30.23156843,30.73526474,31.28161838,31.85754246,32.45344655,33.07022977,33.70519481,34.33376623,34.92547453,35.45874126,35.92177822,36.32207792,36.68011988,37.02627373,37.38321678,37.75534466,38.13796204,38.52547453
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,109534,115121,121091,127339,133709,140059,146382,152620,158648,164268,169377,173889,177866,181517,185120,188896,192909,197101,201478,205984,210591,215326,220184,225084,229923,234578,239017,243271,247451,251733,256223,261008,266029,271069,275846,280184,283978,287358,290597,294062,298051,302618,307660,313129,318894,324859,331033,337389,343681,349604,354942,359577,363584,367168,370633,374206,377931,381761,385640
