Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Chad,TCD,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,Arable land (hectares),AG.LND.ARBL.HA,3600,3600,3700,3800,3600,3400,3700,4100,4300,4400,4300,4170,4130,3900
Channel Islands,CHI,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Arable land (hectares),AG.LND.ARBL.HA,1650000,1500000,1500000,1450000,1350000,1262000,1312000,1310000,1271000,1317000,1283000,1309000,1289200,1313000
Chile,CHL,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,307.7733333,330.1426667,491.3526667,434.7613793,475.8140741,534.1006339,687.2400915,612.4167939,373.2486231,492.5611238,339.4029618,347.5821238,358.2291343,415.7837014
China,CHN,Arable land (hectares),AG.LND.ARBL.HA,114500000,111700000,111600000,112250000,108700000,108485000,108116000,107720000,107220000,106520000,105920000,105720000,105700000,119000000
China,CHN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,377.4581659,393.9572068,413.7240143,423.4091759,452.0460902,469.352445,482.8807947,498.8500743,515.4089722,533.4067781,550.9979229,558.9954596,567.2563861,506.1092436
Colombia,COL,Arable land (hectares),AG.LND.ARBL.HA,2211000,2264000,2238000,2026000,1904600,1998000,1830000,1775000,1763000,1586000,1578000,1682000,1728200,1688600
Colombia,COL,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,309.0022614,324.809629,320.9629133,445.1332675,571.2496062,544.2912913,486.731694,497.268169,585.1917187,745.2969735,805.791128,559.8100595,613.6920032,670.4133779
Comoros,COM,Arable land (hectares),AG.LND.ARBL.HA,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
Comoros,COM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,Arable land (hectares),AG.LND.ARBL.HA,6700000,6700000,6700000,6700000,6700000,6700000,6750000,6790000,6800000,7000000,7100000,7100000,7100000,7100000
"Congo, Dem. Rep.",COD,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,0.275223881,0.208208955,0.067761194,0.454925373,0.634776119,0.940296296,0.797201767,1.104117647,1.010428571,0.737446479,1.424905634,2.850071831,2.951738028
"Congo, Rep.",COG,Arable land (hectares),AG.LND.ARBL.HA,490000,490000,490000,490000,490000,490000,490000,500000,510000,530000,530000,550000,550000,550000
"Congo, Rep.",COG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,2.651020408,0.065306122,0.053061224,0.359183673,0.746938776,4.578,0.541176471,1.31509434,2.247981132,3.107854545,2.633527273,3.125454545
Costa Rica,CRI,Arable land (hectares),AG.LND.ARBL.HA,200000,210000,210000,210000,210000,200000,200000,220000,225000,232000,232000,232000,232100,232000
Costa Rica,CRI,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,537.01,847.2904762,726.6952381,980.8761905,826.7047619,790.195,707.48,753.2363636,544.9911111,712.5431034,635.3276724,589.8420259,566.2835416,683.1634483
Cote d'Ivoire,CIV,Arable land (hectares),AG.LND.ARBL.HA,2800000,2800000,2800000,2800000,2800000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000
Cote d'Ivoire,CIV,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,31.01892857,29.34535714,27.21892857,17.78035714,22.7725,23.99,18.21172414,15.30758621,32.08586207,19.40275862,26.91839655,37.19447586,41.99215862,50.23985172
Croatia,HRV,Arable land (hectares),AG.LND.ARBL.HA,858000,864000,847000,873000,881000,852000,860700,868300,904400,896700,906400,876400,813200,844100
Croatia,HRV,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,256.988345,292.8020833,312.5844156,294.5085911,380.7877412,410.0633803,495.2283025,164.6792583,297.3098187,311.0114866,191.3879082,160.798722,192.0769798,181.7000355
Cuba,CUB,Arable land (hectares),AG.LND.ARBL.HA,3798000,3752000,3706000,3672000,3634000,3573000,3508600,3446000,3384000,3321200,3134900,3156400,3088000,3013700
Cuba,CUB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,38.104792,16.50266525,18.53022126,22.38017429,32.11942763,35.69913238,43.57806533,17.60330818,29.89332151,42.02155847,46.94276372,49.49702826,66.38619495,58.97863092
Curacao,CUW,Arable land (hectares),AG.LND.ARBL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Arable land (hectares),AG.LND.ARBL.HA,100000,112000,113000,123000,115000,109800,82400,86900,82600,84000,85800,79400,79800,98900
Cyprus,CYP,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,159.65,158.2321429,131.4070796,108.9756098,109.026087,109.8360656,112.0145631,181.4499425,202.7723971,151.202381,196.5268065,184.6221662,158.9473684,157.1669363
Czech Republic,CZE,Arable land (hectares),AG.LND.ARBL.HA,3229000,3223000,3216000,3209000,3202000,3195000,3188000,3180000,3171000,3164000,3157000,3149000,3143000,3136000
