Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Swaziland,71.13,71.71,70.6,71.87,72.9,74.8,78.65,80.3,83.21,86.3,81.7,83.57,85.72,85.48,85.17,87,84.35,88.06,90.47,92.85,89.78,87.06,83.95,94.88,97.36,94.52,95.08,103.97,104.97,103.62,100,101.35,94.76,95.25,97.4,98.74,104.42,102.26,106.37,102.95,92.42,95.03,98.47,96.4,98.89,94.28,94.43,96.69,97.2,102.68,100.14,101.44,107.19,107.04
Zambia,50.46,50.88,50.18,50.52,51.37,54.06,56.38,58.78,61.33,64.29,69.52,72.73,72.32,75.82,76.67,82.86,82.66,79.92,74.1,76.16,76.82,77.34,78.78,77.24,84.39,86.98,91.8,95.59,102.88,100.56,100,102.4,102.92,100.94,94.93,98.46,103.83,100.66,106.59,103.3,105.59,102.29,107.98,107.29,107.08,118.29,108.69,111.08,133.45,137.46,132.6,156.68,171.65,175.74
Zimbabwe,55.14,55.89,56.56,57.88,59.06,59.19,64.35,63.45,73.2,74.6,79.29,81.78,78.91,85.46,86.5,87.42,83.88,83.96,80.82,85.62,90.51,92.64,92.62,92.25,94.51,96.41,97.61,102.07,100.53,103.82,100,94.78,94.59,99.41,100.2,110.19,112.66,108.93,114.85,116.6,114.31,109.03,97.94,101.36,102.56,102.75,103.49,103.5,102.05,107.97,113.43,109.28,109.72,131.45
Benin,47.02,49.08,50.24,51.07,53.96,54.92,57.94,57.94,60.13,61.7,61.48,63.36,64.76,62.03,62.22,62.64,65.97,72.71,73.04,71.49,75.64,76.47,80.03,83.48,88.43,85.68,83.23,89.73,91.16,94.69,100,102.43,105.84,112,113.55,124.64,130.1,132.05,136.42,141.74,144.59,152.59,154.59,159.25,161.71,151.85,162.29,176.54,180.54,182.13,181.92,193.78,202.54,206.68
Côte d'Ivoire,30.58,33.34,35.77,37.38,39.33,40.55,42.34,43.73,46.2,48.19,49.62,51.79,53.52,55.91,60.25,63.29,67.47,69.9,73.51,74.01,76.21,78.5,79.86,82.78,84.48,87.01,87.31,93.67,96.11,99.88,100,100.38,102.93,106.16,111.69,112.12,116.48,116.23,116.18,116.73,114.48,119.63,119.34,121.86,124.56,128.24,131.12,131.01,131.44,133.04,136.37,145.59,151.98,157.76
Ghana,48.2,52.97,54.74,57.22,57.1,57.88,60.77,60.8,63.4,73.03,73.1,75.38,77.33,83.5,85.06,82.16,81.63,78.06,81.63,80.65,85.31,83.95,82.09,89.48,90.64,87.96,92.36,94.17,95.21,90.84,100,101.65,101.51,102.48,109.5,117.39,120.67,125.26,128.47,130.22,140.86,143.14,153.15,162.8,157.43,173.39,169.11,178.29,185.62,190.53,191.39,206.96,207.49,208.91
Guinea,54.47,56.1,57.27,59.54,61.11,63.24,64.24,65.47,65.55,67.37,68.3,68.65,70.29,71.06,72.53,74.38,76.54,78.19,78.89,80,81.61,81.1,82.36,83.95,82.47,75.23,80.08,85.43,90.57,93.71,100,107.06,113.46,118.32,124.63,130.49,135.73,140.58,146.61,151.96,153.71,160.3,168.26,175.77,184.47,192,198,205.67,208.5,230.26,235.23,248.59,259.81,256.65
Guinea-Bissau,61.23,62.56,63.55,66.31,65.85,64.62,63.43,63.21,62.72,63.49,62.93,65.38,65.77,69.23,74.58,79.19,80.48,80.17,82.36,85.09,92.61,98.87,97.37,99.24,91.82,94.16,92.87,89.13,97.21,99.21,100,104.25,107.5,108.46,112.71,112.87,120.16,122.09,129.99,136.16,136.69,135.31,134.74,136.92,139.68,142.47,145.19,151.61,155.46,164.18,164.67,168.18,179.07,170.2
Liberia,57.05,60.65,64.68,69.63,73.14,66.22,68.21,70.61,79.16,84.02,86.54,94.43,94.09,97.83,94.26,97.45,103.88,109.35,112.18,113.71,120.97,117.66,124.27,125.49,125.36,124.11,128.93,128.42,128.22,110.62,100,106.13,111.9,96.83,104.21,115.3,133.05,141.57,146.64,152.22,150.61,151.84,154.97,158.73,163.32,168.65,179.81,184.47,192.48,191.1,200.17,202.28,203.93,197.34
Nigeria,39.89,42.2,44.95,45.65,48.52,48.55,52.93,53.82,57.63,58.62,58.94,56.6,60.38,61.79,63.46,66.66,63.06,61.7,63.03,67.09,66.03,67.1,68.21,73.06,74.97,81.01,82.63,86.17,91.25,94.88,100,102.79,106.88,107.36,108.19,109.43,110.32,115.33,116.58,119.27,120.25,122.63,126.2,129.2,134.46,138.12,139.48,146.78,138.21,146.71,151.74,155.81,162.78,163.59
