Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Latin America & the Caribbean (IDA & IBRD countries),TLA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,46.02990091,45.14469875,49.46574166,49.11698356,48.28992882,49.80239133,47.5922723,45.639529,45.99970265,45.68295902,46.30041339,41.56101972,39.38873993,39.07249838,40.7201754,41.99475624,38.67094355,34.99679126,30.00324177,28.28558514,26.84864138,27.77418703,27.79217197,27.25648902,31.11913125,27.47021915,26.6682825,24.83441154,24.45011594,25.06924141,23.32015165,23.21458857,24.24956465,23.56260511,23.5377106,23.82072703,23.83868292,22.29604386,18.83144467,20.53955868,20.62245306,21.11581422,19.98261642,18.81530666,18.0532256,20.05182001,19.23160201,22.03161958,20.15255637,19.70856284,19.72432458,20.56493616,23.27197391,25.51703897,26.65053706,..
Latvia,LVA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.53402422,10.46481503,12.9435297,13.41154103,12.81336813,12.40255295,12.2830746,12.38751627,12.86483945,11.67359222,10.72654946,10.74978574,10.38847719,10.44358956,12.69460415,16.55321855,14.73416287,13.4338802,13.57436718,13.81332004,14.12456425,..,15.37881951,..
Latvia,LVA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.49399751,14.41847831,15.38607202,13.89375899,10.12060762,6.186306853,5.659254916,8.687407614,10.10478782,8.839695144,9.173775677,11.27899416,12.32331524,13.32896965,15.72534278,17.33047996,16.82115256,15.18324068,19.25781853,19.00769378,18.14625079,..,18.36912654,..
Least developed countries: UN classification,LDC,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.69834214,17.12104601,16.64044201,17.2284515,16.5497006,15.55661026,..,16.13297538,15.66681143,16.23983625,16.15452457,16.83462465,15.64697581,15.61514676,..,16.75566351,..,..
Least developed countries: UN classification,LDC,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,41.93149342,..,38.82484266,..,..,..,..,..,26.592269,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.05247589,..,9.515039726,10.36061247,10.77722547,11.4779838,11.29734017,14.17808243,16.79257566,..,..
Lebanon,LBN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,30.37202041,27.11424769,23.94681578,25.06908119,23.53666171,20.10401153,18.23413715,..,..,..,22.08861865,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.58594342,20.85106968,20.55855294,18.88444347,17.5488244,19.20207152,18.4965213,16.07311856,15.38765695,15.23633623,16.44384548,14.36713146,15.33643042,16.29774185,16.84009567,16.17020107,16.47821489,17.84693505,..,18.09664546,..
Lebanon,LBN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,43.44472092,38.47944194,31.58557873,29.98691369,27.27406843,24.02605872,21.1329553,..,..,..,18.26902147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.94092996,21.47302795,21.14260936,19.72996151,19.27050692,18.58579527,19.49401488,15.95563107,16.21925273,15.6520094,14.74824519,13.96188456,16.35168921,14.90142685,18.40617291,19.91324341,21.38496994,26.19806871,..,29.92404508,..
Lesotho,LSO,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.5469623,26.90302016,23.02405346,19.25178585,15.60612025,..,..,..,20.16458923,28.13557716,20.5720249,23.50919602,20.75030318,..,..,..,..,..
Lesotho,LSO,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.908089138,14.31796648,7.098860003,8.56239963,4.669661264,..,..,..,13.52440656,8.93478193,16.58512936,14.15634216,14.34068339,..,..,..,..,..
Liberia,LBR,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,18.44201256,..,..,..,17.08355401,..,..,16.88275404,18.36834597,17.0681759,18.35123595,15.80592982,13.87132711,12.77536568,14.94924372,16.99385153,18.22581378,18.89040036,22.28301243,22.33654481,26.07565467,25.01180409,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
