Indicator name,indicator,Country name,country,time,value
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2010,3.16
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2011,3.18
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2012,3.17
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2013,3.24
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2014,3.16
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2000,1.82
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2001,1.85
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2002,1.88
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2003,1.9
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2004,1.91
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2005,1.91
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2006,1.97
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2007,2.01
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2008,2.04
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2009,2.06
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2010,2.03
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2011,2.04
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2012,2
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2013,2.02
Domestic food price level index,FAO-21018-6125,Cyprus,CYP,2014,2
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2000,2.36
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2001,2.34
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2002,2.29
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2003,2.29
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2004,2.32
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2005,2.32
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2006,2.28
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2007,2.32
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2008,2.33
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2009,2.26
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2010,2.05
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2011,2.09
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2012,2.15
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2013,2.24
Domestic food price level index,FAO-21018-6125,Czech Republic,CZE,2014,2.27
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2000,1.34
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2001,1.35
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2002,1.34
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2003,1.34
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2004,1.3
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2005,1.3
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2006,1.32
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2007,1.34
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2008,1.37
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2009,1.32
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2010,1.31
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2011,1.32
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2012,1.34
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2013,1.34
Domestic food price level index,FAO-21018-6125,Denmark,DNK,2014,1.31
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2000,4.23
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2001,4.1
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2002,4.06
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2003,4.04
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2004,4.47
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2005,4.26
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2006,4.17
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2007,4.14
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2008,4.2
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2009,4.22
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2010,4.17
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2011,4.05
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2012,4.08
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2013,4.1
Domestic food price level index,FAO-21018-6125,Dominican Republic,DOM,2014,4.09
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2000,5.33
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2001,5.09
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2002,4.88
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2003,4.63
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2004,4.53
Domestic food price level index,FAO-21018-6125,Ecuador,ECU,2005,3.03
